customer_id,first_name,last_name,email,phone
2,Victoria,Lebedeva,victoria.lebedeva.11@example.com,89132571045
3,Sofia,Zaitseva,sofia.zaitseva.12@mail.com,89864847028
4,Maxim,Kiseleva,maxim.kiseleva.13@demo.com,89924140805
6,Anastasia,Alekseev,anastasia.alekseev.15@test.com,89966272583
7,Tatyana,Mikhailov,tatyana.mikhailov.16@mail.com,89514126074
9,Ekaterina,Belova,ekaterina.belova.18@mail.com,89527544147
11,Victoria,Andreev,victoria.andreev.20@mail.com,89273017922
12,Sergey,Pavlova,sergey.pavlova.21@test.com,89818391024
13,Ivan,Morozova,ivan.morozova.22@demo.com,89746237714
14,Nadezhda,Smirnova,nadezhda.smirnova.23@mail.com,89229168371
16,Irina,Volkova,irina.volkova.25@demo.com,89878096608
17,Anna,Orlova,anna.orlova.26@example.com,89688776630
18,Margarita,Borisova,margarita.borisova.27@example.com,89889882925
19,Lyubov,Nikolaev,lyubov.nikolaev.28@mail.com,89550442168
20,Zoya,Petrov,zoya.petrov.29@example.com,89383365370
21,Lyubov,Sokolova,lyubov.sokolova.30@demo.com,89755541759
22,Maria,Pavlova,maria.pavlova.31@example.com,89724571166
23,Anna,Vladimirov,anna.vladimirov.32@mail.com,89451313973
24,Svetlana,Mikhailov,svetlana.mikhailov.33@demo.com,89952437913
25,Polina,Morozova,polina.morozova.34@demo.com,89840451401
26,Alexey,Ivanov,alexey.ivanov.35@test.com,89239978834
27,Nikolay,Andreev,nikolay.andreev.36@mail.com,89487295140
28,Dmitry,Lebedeva,dmitry.lebedeva.37@mail.com,89644576510
29,Petr,Tikhomirova,petr.tikhomirova.38@example.com,89639476371
30,Zoya,Frolova,zoya.frolova.39@mail.com,89891400173
31,Petr,Volkova,petr.volkova.40@demo.com,89667038053
32,Irina,Andreev,irina.andreev.41@mail.com,89295244557
34,Anna,Mikhailov,anna.mikhailov.43@demo.com,89189911802
36,Darya,Vladimirov,darya.vladimirov.45@demo.com,89713906385
37,Ivan,Guseva,ivan.guseva.46@mail.com,89219636930
38,Maria,Komarova,maria.komarova.47@mail.com,89282033721
39,Elizaveta,Nikolaev,elizaveta.nikolaev.48@demo.com,89994647658
40,Svetlana,Borisova,svetlana.borisova.49@mail.com,89744099640
41,Mikhail,Maximov,mikhail.maximov.50@demo.com,89566938191
42,Tatyana,Sokolova,tatyana.sokolova.51@example.com,89697218959
43,Polina,Petrov,polina.petrov.52@demo.com,89476375727
45,Sofia,Popova,sofia.popova.54@mail.com,89638579327
47,Irina,Petrov,irina.petrov.56@example.com,89663774042
49,Dmitry,Volkova,dmitry.volkova.58@mail.com,89417551782
50,Svetlana,Andreev,svetlana.andreev.59@mail.com,89982905600
51,Vladimir,Alekseev,vladimir.alekseev.60@mail.com,89254249956
52,Sergey,Volkova,sergey.volkova.61@example.com,89739841805
53,Sofia,Kiseleva,sofia.kiseleva.62@example.com,89866242277
54,Zoya,Guseva,zoya.guseva.63@example.com,89483930115
55,Victoria,Frolova,victoria.frolova.64@example.com,89396212716
56,Alexandra,Nikolaev,alexandra.nikolaev.65@demo.com,89484412806
58,Polina,Tikhomirova,polina.tikhomirova.67@demo.com,89520139196
59,Margarita,Sokolova,margarita.sokolova.68@mail.com,89652380174
61,Ksenia,Mikhailov,ksenia.mikhailov.70@mail.com,89451125435
62,Petr,Maximov,petr.maximov.71@example.com,89562232673
63,Irina,Maximov,irina.maximov.72@demo.com,89257005849
64,Anastasia,Vladimirov,anastasia.vladimirov.73@demo.com,89675158606
65,Olga,Volkova,olga.volkova.74@test.com,89329332992
66,Olga,Komarova,olga.komarova.75@mail.com,89444428766
67,Sofia,Kozlova,sofia.kozlova.76@demo.com,89513501494
68,Anastasia,Smirnova,anastasia.smirnova.77@demo.com,89565674056
69,Ksenia,Ivanov,ksenia.ivanov.78@mail.com,89581604624
70,Irina,Lebedeva,irina.lebedeva.79@mail.com,89832920348
71,Zoya,Borisova,zoya.borisova.80@mail.com,89828920705
72,Elizaveta,Sokolova,elizaveta.sokolova.81@demo.com,89425400892
73,Dmitry,Mikhailov,dmitry.mikhailov.82@demo.com,89380433436
74,Yulia,Mikhailov,yulia.mikhailov.83@mail.com,89213263806
75,Andrey,Nikolaev,andrey.nikolaev.84@mail.com,89177003770
76,Vladimir,Ivanov,vladimir.ivanov.85@test.com,89971146998
77,Petr,Frolova,petr.frolova.86@example.com,89450673007
79,Ekaterina,Andreev,ekaterina.andreev.88@mail.com,89847772487
80,Alexey,Pavlova,alexey.pavlova.89@example.com,89327514165
81,Alexey,Alekseev,alexey.alekseev.90@example.com,89222408461
82,Ivan,Tikhomirova,ivan.tikhomirova.91@example.com,89659269007
83,Vladimir,Andreev,vladimir.andreev.92@test.com,89633545932
84,Margarita,Zaitseva,margarita.zaitseva.93@mail.com,89789198704
85,Zoya,Komarova,zoya.komarova.94@test.com,89146738904
86,Svetlana,Frolova,svetlana.frolova.95@mail.com,89131520420
87,Margarita,Zaitseva,margarita.zaitseva.96@test.com,89824937613
88,Tatyana,Zaitseva,tatyana.zaitseva.97@demo.com,89992683165
89,Darya,Morozova,darya.morozova.98@test.com,89588336438
90,Sergey,Morozova,sergey.morozova.99@demo.com,89992562447
92,Andrey,Maximov,andrey.maximov.101@demo.com,89647928925
93,Alexey,Komarova,alexey.komarova.102@demo.com,89373692089
94,Yulia,Maximov,yulia.maximov.103@test.com,89866737270
